Date,WTI,Gas,Gold,Bdiy,Dollar,Snp,Open,High,Low,Volume,Energy
2020-01-02,61.17,2.122,1520.55,976.0,96.525,3257.85,456.46,460.93,456.46,133.61,460.34
2020-01-03,63.0,2.13,1547.4,907.0,96.521,3234.85,460.34,465.54,456.81,171.55,458.77
2020-01-06,63.27,2.135,1576.85,844.0,96.35,3246.28,458.77,464.81,458.77,195.33,462.34
2020-01-07,62.7,2.162,1566.5,791.0,96.702,3237.18,462.34,462.34,455.75,197.25,461.39
2020-01-08,59.65,2.141,1582.85,773.0,96.996,3253.05,461.39,461.39,452.84,187.23,453.36
2020-01-09,59.56,2.166,1547.85,772.0,97.162,3274.7,453.36,457.19,447.94,183.66,456.79
2020-01-10,59.02,2.202,1548.8,774.0,97.078,3265.35,456.79,456.79,453.6,146.0,453.87
2020-01-13,58.17,2.182,1550.35,765.0,97.06,3288.13,453.87,455.66,451.23,143.04,454.25
2020-01-14,58.34,2.187,1544.95,763.0,97.094,3283.15,454.25,454.76,450.42,171.61,454.26
2020-01-15,57.86,2.12,1551.9,768.0,96.96,3289.29,454.26,454.26,449.74,135.98,451.21
2020-01-16,58.52,2.077,1555.2,768.0,97.062,3316.81,451.21,455.0,451.21,147.53,451.74
2020-01-17,58.55,2.003,1556.5,754.0,97.359,3329.62,451.74,453.19,448.09,166.25,448.77
2020-01-21,58.25,1.895,1556.25,689.0,97.294,3320.79,448.77,448.77,440.1,200.13,440.32
2020-01-22,56.76,1.905,1558.1,623.0,97.295,3321.75,440.32,440.32,435.38,172.65,436.39
2020-01-23,55.51,1.926,1554.05,576.0,97.484,3325.54,436.39,436.39,428.72,195.5,434.81
2020-01-24,54.09,1.893,1561.85,557.0,97.65,3295.47,434.81,434.81,426.7,165.92,429.71
2020-01-27,53.09,1.902,1583.45,546.0,97.767,3243.63,429.71,429.71,417.65,196.95,417.87
2020-01-28,53.33,1.934,1579.6,539.0,97.835,3276.24,417.87,422.35,417.87,173.48,419.59
2020-01-29,53.29,1.877,1571.2,525.0,97.819,3273.4,419.59,423.58,414.99,164.02,415.12
2020-01-30,52.19,1.829,1580.4,498.0,97.706,3283.66,415.12,419.21,410.14,197.69,418.79
2020-01-31,51.58,1.841,1580.85,487.0,97.213,3225.52,418.79,418.79,403.32,264.59,405.45
2020-02-03,50.06,1.819,1578.85,466.0,97.625,3248.92,405.45,405.45,398.56,186.6,400.02
2020-02-04,49.59,1.872,1571.2,453.0,97.809,3297.59,400.02,408.57,400.02,195.87,400.81
2020-02-05,50.87,1.861,1552.2,430.0,98.158,3334.69,400.81,417.25,400.81,192.18,415.97
2020-02-06,50.94,1.862,1564.75,431.0,98.381,3345.78,415.97,417.44,410.91,131.42,411.64
2020-02-10,49.59,1.766,1574.05,411.0,98.714,3352.09,408.55,408.55,402.79,153.01,405.24
2020-02-11,50.0,1.788,1567.7,418.0,98.594,3357.75,405.24,410.89,405.24,145.07,409.47
2020-02-12,51.13,1.844,1566.75,421.0,98.922,3379.45,409.47,417.2,409.47,169.57,415.03
2020-02-13,51.41,1.826,1575.0,421.0,98.958,3373.94,415.03,415.74,410.97,183.73,413.15
2020-02-14,52.03,1.837,1576.35,425.0,99.003,3380.16,413.15,413.71,407.53,141.96,409.82
2020-02-18,52.1,1.981,1588.2,450.0,99.333,3370.29,409.82,409.82,402.65,163.4,406.42
2020-02-19,53.31,1.955,1609.5,465.0,99.597,3386.15,406.42,413.29,406.42,158.28,411.79
2020-02-20,53.77,1.92,1610.35,480.0,99.776,3373.23,411.79,415.68,410.06,172.55,411.11
2020-02-21,53.36,1.905,1633.7,497.0,99.188,3337.75,411.11,411.11,402.89,176.29,405.93
2020-02-24,51.36,1.827,1682.35,506.0,99.284,3225.89,405.93,405.93,386.34,236.98,386.7
2020-02-25,49.78,1.847,1655.9,508.0,98.901,3128.21,386.7,388.52,367.92,282.04,369.92
2020-02-26,48.67,1.821,1647.95,517.0,98.938,3116.39,369.92,373.2,358.94,278.31,358.94
2020-02-27,47.17,1.752,1646.6,529.0,98.461,2978.76,358.94,358.94,339.2,371.35,339.3
2020-02-28,44.83,1.684,1626.35,535.0,98.081,2954.22,339.3,343.55,325.99,459.4,343.53
2020-03-02,46.78,1.756,1609.7,539.0,97.319,3090.23,343.53,353.75,336.99,338.16,353.68
2020-03-03,47.27,1.8,1599.05,549.0,97.122,3003.37,353.68,359.75,338.67,331.54,342.64
2020-03-04,46.78,1.827,1644.8,562.0,97.307,3130.12,342.64,350.45,342.33,241.31,350.25
2020-03-05,45.9,1.772,1647.45,599.0,96.79,3023.94,350.25,350.25,331.75,285.7,337.59
2020-03-06,41.14,1.708,1687.0,617.0,95.934,2972.37,337.59,337.59,314.02,423.05,318.64
2020-03-09,31.05,1.778,1676.6,616.0,94.87,2746.56,318.64,318.64,253.12,879.81,254.65
2020-03-10,34.47,1.936,1657.4,627.0,96.389,2882.23,254.65,275.5,250.7,703.39,267.37
2020-03-11,33.13,1.878,1662.5,631.0,96.492,2741.38,267.37,267.37,249.13,538.92,252.77
2020-03-12,31.56,1.841,1636.65,633.0,97.464,2480.64,252.77,252.77,220.68,591.03,221.69
2020-03-13,31.72,1.869,1588.15,631.0,98.764,2711.02,221.69,241.29,215.83,579.72,241.29
2020-03-16,28.96,1.815,1504.65,623.0,98.24,2386.13,241.29,241.29,207.53,454.27,208.41
2020-03-17,26.96,1.729,1472.35,612.0,99.804,2529.19,208.41,218.92,202.11,460.46,209.92
2020-03-18,20.48,1.604,1506.0,629.0,101.543,2398.1,209.92,209.92,172.45,528.86,179.94
2020-03-19,25.09,1.654,1480.7,630.0,103.605,2409.39,179.94,193.26,173.18,485.32,192.08
2020-03-20,19.48,1.604,1504.45,625.0,103.502,2304.92,192.08,201.48,186.26,590.4,193.93
2020-03-23,23.33,1.602,1494.5,617.0,103.24,2237.4,193.93,193.93,178.04,414.42,181.03
2020-03-24,21.03,1.653,1599.5,603.0,102.247,2447.33,181.03,211.68,181.03,462.39,210.56
2020-03-25,20.75,1.659,1620.95,582.0,100.997,2475.56,210.56,230.58,205.83,466.2,220.02
2020-03-26,16.6,1.637,1620.1,569.0,99.453,2630.07,220.02,237.74,219.72,442.39,233.76
2020-03-27,15.48,1.634,1621.2,556.0,98.537,2541.47,233.76,233.76,216.33,389.15,217.56
2020-03-30,14.1,1.69,1624.45,548.0,99.281,2626.65,217.56,221.96,208.26,423.43,219.81
2020-03-31,20.51,1.64,1604.65,626.0,99.092,2584.59,219.81,230.63,219.05,417.28,223.4
2020-04-01,20.28,1.587,1594.25,624.0,99.753,2470.5,223.4,223.4,209.97,367.18,213.04
2020-04-02,25.18,1.552,1588.05,624.0,100.271,2526.9,213.04,243.25,213.04,604.72,232.37
2020-04-03,28.36,1.621,1609.75,616.0,100.677,2488.65,232.37,241.06,223.16,530.84,229.26
2020-04-06,26.21,1.731,1636.6,604.0,100.755,2663.68,229.26,242.79,229.26,414.98,241.07
2020-04-07,23.54,1.852,1652.2,596.0,99.914,2659.41,241.07,259.47,241.07,483.13,245.9
2020-04-08,24.97,1.783,1649.05,607.0,100.17,2749.98,245.9,263.14,245.9,367.69,262.46
2020-04-09,22.9,1.733,1662.5,635.0,99.504,2789.82,262.46,279.0,250.05,663.24,259.63
2020-04-14,20.15,1.65,1715.85,679.0,98.885,2846.06,258.57,263.15,256.06,342.17,257.37
2020-04-15,19.96,1.598,1712.25,706.0,99.486,2783.36,257.37,257.37,237.91,357.39,245.34
2020-04-16,19.82,1.686,1717.85,726.0,100.1,2799.55,245.34,245.34,235.05,310.71,235.59
2020-04-17,18.31,1.753,1693.15,751.0,99.836,2874.56,235.59,260.55,235.59,408.5,260.17
